Rank,Account Handle
999,albert.stegemann
1000,stegner_smiles
1001,stein.mathias
1002,nadja_sthamer
1003,konradstockmeier
1004,stoecker.diana
1005,strackzimmermann
1006,stephan_stracke_mdb
1007,bstrasser
1008,wolfgangstrengmannkuhn
1009,kassem.tahersaleh
1010,jessica_tatti
1011,lindateuteberg
1012,jensteutrine
1013,michael_theurer
1014,michaelthews
1015,hans_juergen.thies
1016,stephanthomae
1017,alexthrom
1018,nicotippelt
1019,mtodtenh
1020,markustoens
1021,floriantoncar
1022,troffschaffarzyk
1023,amtrasnea
1024,deryatuerknachbaur
1025,ullmannmdb
1026,frank.ullrich.biathlon
1027,gerald.ullrich
1028,volkerullrich
1029,dirk.voepel
1030,johannesvogel
1031,emilyvontz
1032,christoph.devries.mdb
1033,niklaswagener
1034,sahra_wagenknecht
1035,carolinwagner.in
1036,maja_wallstein
1037,hanneswalter.spd
1038,nina.warken
1039,carmenwegge
1040,melanie.wegling
1041,joe_weingarten
1042,anjaweisgerber
1043,thereallenzii
1044,nicole.westig
1045,bestphal
1046,widmannmauz
1047,dirkwiesespd
1048,dr.christian_wirth_mdb
1049,volkerwissing
1050,janine_wissler
1051,guelistan.yueksel
1052,kayuweziegler73
1053,paulziemiak
1054,jenszspd
1055,n_zippelius
1056,armand_zorn
1057,katrin.zschau
1058,comeon_de
1059,harlinger1862
1060,badische_zeitung
1061,staatszeitung
1062,bayerwaldecho
1063,beobachtermagazin
1064,berchtesgadener_anzeiger
1065,bbvnet
1066,borkumerzeitung
1067,boyensmedien
1068,westfalenblatt
1069,echoonline_suedhessen
1070,medienhaus_bauer
1071,dewezet
1072,delmenhorsterkreisblatt
1073,der_bote_nuernbergland
1074,der_insel_bote
1075,dplnews
1076,allin_de
1077,dieharke
1078,dieoberbadische
1079,dingolfingeranzeiger
1080,da.redaktion
1081,dorstener_zeitung
1082,dnn_inside
1083,elbe_jeetzel_zeitung
1084,fraenkischertag.de
1085,freisinger_tagblatt
1086,freitags_anzeiger
1087,friedberger_allgemeine
1088,geislinger_zeitung
1089,giessenerallgemeinezeitung
1090,giesseneranzeiger
1091,schwaepotagespost
1092,goslarsche.de
1093,griesheimeranzeiger
1094,hanauer_anzeiger
1095,hersfelder_zeitung
1096,hnanews
1097,hohenlohertagblatt
1098,hurriyetcomtr
1099,kreis_anzeiger
1100,kreiszeitung.de
1101,landeszeitung
1102,landsberger_tagblatt
1103,landshuterzeitung
1104,lauterbacheranzeiger
1105,leinetal24.de
1106,ludwigsburgerkreiszeitung
1107,mtclp
1108,neckarchronik
1109,neuburger_rundschau
1110,neumarktertagblatt
1111,cnv_medien
1112,ovb_heimatzeitungen
1113,oberhessischezeitung
1114,oga_oranienburg
1115,oz_online.de
1116,on_online.de
1117,pegnitzzeitung
1118,peiner_allgemeine
1119,pznews
1120,pnn_de
1121,rgaremscheid
1122,rheiderland.de
1123,rieser_nachrichten
1124,rundschaugaildorf
1125,ruppineranzeiger
1126,rechonews
1127,saechsische.de
1128,szlz.de
1129,schifferstadtertagblatt
1130,zeitungsverlag_waiblingen
1131,schwabmuenchner_allgemeine
1132,svz.de
1133,siegenerzeitung
1134,soester.anzeiger
1135,solingertageblatt
1136,sindelfingerzeitung
1137,tah_holzminden
1138,torgauerzeitung
1139,trierischervolksfreund
1140,tz_muenchen
1141,unz_unsere_neue_zeitung
1142,usingeranzeiger
1143,vaihingerkreiszeitung
1144,wa.hamm
1145,wilhelmshavenerzeitung
1146,redaktionalzeyworms
1147,zollernalbkurier
1148,dwnews
1149,buten_un_binnen
1150,3nach9_official
1151,abenteuerleben
1152,aktesat1
1153,bachelor.rtl
1154,baresfuerrares
1155,sportstudio
1156,dasgrossebacken
1157,dassommerhausderstars.rtl
1158,supertalent
1159,dsds
1160,dierosenheimcops
1161,eurovision_de
1162,free_european_songcontest
1163,galileo
1164,gefragtgejagtoffiziell
1165,germanysnexttopmodel
1166,heuteshow
1167,hubertohnestaller_official
1168,ichbineinstar.rtl
1169,kroymann_ard
1170,letsdance
1171,mariobarthdecktauf
1172,ndrmarkt
1173,ndr.eo
1174,zapp.medienmagazin
1175,ninja_warrior_germany
1176,charmings.official
1177,vox_prominent
1178,quizduellimersten
1179,kirche_im_ndr
1180,rtltopnews
1181,fruehstuecksfernsehen
1182,schlagdenstar
1183,schwiegertochtergesucht.rtl
1184,singmeinensong.vox
1185,takemeout.rtl
1186,tatort
1187,masked.singer.germany
1188,thevoiceofgermany
1189,tierischtierisch
1190,tvtotal
1191,vsspass
1192,wapo_bodensee
1193,werweissdennsowas_official
1194,zdf_magazin_royale
1195,zolprosieben
1196,buzzfeedgermany
1197,byc.news
1198,bz_duisburg
1199,carta.info
1200,cinemastrikesback
1201,correctiv_org
1202,deep.und.deutlich
1203,dein_hsk
1204,delmenews
1205,der_biograph
1206,deutschewirtschaftsnachrichten
1207,deutschland.aktuell
1208,deutschland3000
1209,die.da.oben
1210,diefrage_offiziell
1211,karrierebibel
1212,donau_ries_aktuell
1213,edlive.de
1214,erkrath.jetzt
1215,extremnews
1216,followme.reports
1217,freenet
1218,freie_welt_net
1219,funky.de
1220,gametwo_official
1221,geolitico
1222,gigblog
1223,gizmodo
1224,hand.drauf
1225,harburgaktuell
1226,hasepost
1227,heftigde
1228,heidelberg_24
1229,hiphopholicde
1230,hunderthektarheimat
1231,hypeculture.de
1232,iam.justmyself
1233,ignant
1234,kanackischewelle
1235,klatsch_tratsch.de
1236,kwerfeldein
1237,leverkusencom
1238,lizzynet.de
1239,lokalkompass
1240,lokalplus.nrw
1241,ludwigshafen_24
1242,maedelsabende
1243,dasbleibtmaennersache
1244,mannheim_24
1245,merkurist.wiesbaden
1246,mindenerrundschau
1247,mitvergnuegen
1248,mobiflip
1249,molo.news
1250,mrnnews
1251,myheimat.de
1252,nachrichten_muc
1253,diemitdendunks
1254,netzfrauen___
1255,newsausbaden
1256,news38
1257,news.stadt
1258,nextpit.de
1259,oberbergaktuell
1260,oozeitung
1261,onlinemarketingde
1262,osna.live
1263,phillaude
1264,presseportal.de
1265,promipool
1266,queer.de
1267,regioaktuell24
