name,channel,handle,url,category,label,rank
"Toepffer, Dirk",facebook,D.Toepffer.MdL,https://www.facebook.com/D.Toepffer.MdL,Politician,CDU,
"Toepffer, Dirk",instagram,dirk.toepffer,https://www.instagram.com/dirk.toepffer/,Politician,CDU,2490
"Tonne, Grant Hendrik",x,GTonne,https://www.x.com/GTonne,Politician,SPD,
"Tonne, Grant Hendrik",facebook,GrantHendrikTonne,https://www.facebook.com/GrantHendrikTonne,Politician,SPD,2262
"Tonne, Grant Hendrik",instagram,ghtonne,https://www.instagram.com/ghtonne/,Politician,SPD,2491
"Tonne, Grant Hendrik",tiktok,@ghtonne,https://www.tiktok.com/@ghtonne,Politician,SPD,
"True, Dennis",facebook,dennis.true,https://www.facebook.com/dennis.true/,Politician,SPD,2315
"True, Dennis",instagram,dennis.true.spd,https://www.instagram.com/dennis.true.spd/,Politician,SPD,2492
"Uhlen, Thomas",x,thomas_uhlen,https://www.x.com/thomas_uhlen,Politician,CDU,
"Uhlen, Thomas",facebook,thomasuhlen,https://www.facebook.com/thomasuhlen,Politician,CDU,1204
"Uhlen, Thomas",instagram,thomas_uhlen,https://www.instagram.com/thomas_uhlen/,Politician,CDU,2493
"Viehoff, Eva",x,eva_viehoff,https://www.x.com/eva_viehoff,Politician,Grüne,
"Viehoff, Eva",facebook,Eva.Viehoff,https://www.facebook.com/Eva.Viehoff,Politician,Grüne,1432
"Viehoff, Eva",instagram,eva_viehoff_mdl,https://www.instagram.com/eva_viehoff_mdl/,Politician,Grüne,2494
"Viehoff, Eva",tiktok,@eva_viehoff,https://www.tiktok.com/@eva_viehoff,Politician,Grüne,
"Weippert, Nadja",x,NadjaWeippert,https://www.x.com/NadjaWeippert,Politician,Grüne,
"Weippert, Nadja",facebook,naddel.schaefer,https://www.facebook.com/naddel.schaefer,Politician,Grüne,
"Weippert, Nadja",instagram,nadjaweippert,https://www.instagram.com/nadjaweippert/,Politician,Grüne,2495
"Wernstedt, Dr. Thela",facebook,Thela-Wernstedt-MdL-254155828336349,https://www.facebook.com/Thela-Wernstedt-MdL-254155828336349,Politician,SPD,1148
"Wernstedt, Dr. Thela",instagram,thelawernstedt,https://www.instagram.com/thelawernstedt/,Politician,SPD,
"Wille, Alexander",facebook,willewillswissen,https://www.facebook.com/willewillswissen,Politician,CDU,1427
"Wille, Alexander",instagram,alex_wille_celle,https://www.instagram.com/alex_wille_celle/,Politician,CDU,2496
"Willeke, Christoph",facebook,christophwillekespd,https://www.facebook.com/christophwillekespd,Politician,SPD,3295
"Willeke, Christoph",instagram,christoph12willeke,https://www.instagram.com/christoph12willeke/,Politician,SPD,2497
"Willeke, Christoph",tiktok,@christoph.willeke,https://www.tiktok.com/@christoph.willeke,Politician,SPD,
"Wook, Tim-Julian",x,timfluencer,https://www.x.com/timfluencer,Politician,SPD,
"Wook, Tim-Julian",facebook,timwookspd,https://www.facebook.com/timwookspd,Politician,SPD,2476
"Wook, Tim-Julian",instagram,tim.wook,https://www.instagram.com/tim.wook/,Politician,SPD,2498
