Rank,Account Handle,URL
257,Thomas Bareiß,https://www.facebook.com/152284468263590
258,CDU Thüringen,https://www.facebook.com/129459503748982
259,CORRECTIV,https://www.facebook.com/1399637916952318
260,AfD KV Siegen-Wittgenstein,
261,Landesfeuerwehrverband Niedersachsen,https://www.facebook.com/1511275025837993
262,Torgauer Zeitung,https://www.facebook.com/169402140848
263,radio SAW,https://www.facebook.com/143483951890
264,Yvonne Gebauer,https://www.facebook.com/1425049301151339
265,osthessen-news.de,https://www.facebook.com/134624766583574
266,CDU Saar,https://www.facebook.com/334120300419
267,Armin Laschet,https://www.facebook.com/109478215738226
268,Handelsblatt,https://www.facebook.com/104709558232
269,tz München,https://www.facebook.com/121100397962810
270,Björn Simon,https://www.facebook.com/536275779902817
271,IG Metall Bezirk Niedersachsen und Sachsen-Anhalt,https://www.facebook.com/246226365408868
272,Ilse Aigner,https://www.facebook.com/430681347087363
273,news.de,https://www.facebook.com/200146199996497
274,Dr. Alexander Wolf,https://www.facebook.com/854202354631233
275,AfD Schleswig-Holstein,https://www.facebook.com/910790398984963
276,Stefan Politze,https://www.facebook.com/593200904219456
277,filstalwelle,https://www.facebook.com/110608918989662
278,Bündnis 90/Die Grünen Saarland,https://www.facebook.com/167231359972727
279,Klaus Gagel,https://www.facebook.com/133222360586511
280,Goslarsche Zeitung,https://www.facebook.com/149560811792833
281,Marcus Faber,https://www.facebook.com/105315240990459
282,Omid Nouripour,https://www.facebook.com/335200473236919
283,Hasepost,https://www.facebook.com/174396185965964
284,CDU  Mecklenburg-Vorpommern (CDU MV),https://www.facebook.com/142004422534101
285,Voltsonne - Mobile Photovoltaik Inselanlagen,
286,taff,https://www.facebook.com/152537657280
287,Achgut.com - Die Achse des Guten,https://www.facebook.com/180481025298371
288,taz,https://www.facebook.com/171844246207985
289,Reutlinger General-Anzeiger,https://www.facebook.com/208662292485245
290,Katrin Ebner-Steiner,https://www.facebook.com/1063894523641714
291,Grüne Fraktion Baden-Württemberg,https://www.facebook.com/117157858346169
292,"Dr. Götz Frömming, MdB",https://www.facebook.com/1163768790326569
293,Mahmut Özdemir,https://www.facebook.com/189259604552544
294,Winfried Bausback,https://www.facebook.com/312061525818186
295,Serdar Yüksel,https://www.facebook.com/961777890623902
296,Amadeu Antonio Stiftung,https://www.facebook.com/74994133255
297,NDR Mecklenburg-Vorpommern,https://www.facebook.com/280876185356655
298,B.Z.,https://www.facebook.com/57187632436
299,HNA,https://www.facebook.com/237702348824
300,katholisch.de,https://www.facebook.com/108851439196399
301,Rene Dierkes,https://www.facebook.com/100166866328132
302,Hermann Färber,https://www.facebook.com/565107070189081
303,Deutscher Wetterdienst,https://www.facebook.com/139420166123648
304,Allgemeine Zeitung,https://www.facebook.com/255951758912
305,Sebastian Striegel,https://www.facebook.com/1548351238767524
306,CDU Brandenburg,https://www.facebook.com/168325299887228
307,Schleswiger Nachrichten,https://www.facebook.com/362985850398822
308,Tobias Beck,https://www.facebook.com/506213122791503
309,Matthias Lieschke AfD,https://www.facebook.com/1505198643073430
310,news38.de,https://www.facebook.com/548855471932875
311,IKZ-Online,https://www.facebook.com/372250376168473
312,Sachsen-Anhalt.de,https://www.facebook.com/425826610811885
313,BYC-News.de,
314,Klaus Wiener MdB,https://www.facebook.com/102314525375756
315,Berliner Morgenpost,https://www.facebook.com/46239931235
316,Radio Lübeck,https://www.facebook.com/512636409215375
317,Eifeler Zeitung,https://www.facebook.com/130310047180125
318,Wiesbadener Kurier,https://www.facebook.com/262129856053
319,WESER-KURIER,https://www.facebook.com/48412147711
320,land.nrw,https://www.facebook.com/169463563099560
321,Volksstimme.de,https://www.facebook.com/110662875633207
322,Planet-Freak,
323,Boyens Medien,https://www.facebook.com/393903080690374
324,Andreas Schwarz,https://www.facebook.com/729931240351201
325,Isar-Loisachbote,https://www.facebook.com/286983908007293
326,Fürther Nachrichten,https://www.facebook.com/787580048023375
327,Stormarner Tageblatt - Nachrichten aus Stormarn und Umgebung,https://www.facebook.com/421468297897911
328,Aachener Zeitung - Düren,https://www.facebook.com/101400321336995
329,Heinsberger Zeitung,https://www.facebook.com/550749174981254
330,SAT.1 Frühstücksfernsehen,https://www.facebook.com/122474347825021
331,kreiszeitung.de,https://www.facebook.com/146798206489
332,ka-news.de,https://www.facebook.com/190748166563
333,Der Westen,https://www.facebook.com/243001859426137
334,"Michael Schrodi, MdB",https://www.facebook.com/373266896075258
335,TLC Deutschland,https://www.facebook.com/598033656906056
336,Echo Online,https://www.facebook.com/145340745513489
337,Neue Westfälische,https://www.facebook.com/215604728519502
338,Bayerwald-Echo,https://www.facebook.com/295426853869262
339,AfD-Fraktion Mecklenburg-Vorpommern,https://www.facebook.com/580401892143117
340,CDU-Landtagsfraktion Niedersachsen,https://www.facebook.com/205838956172472
341,Martin Schirdewan,https://www.facebook.com/561842290518545
342,"Dr. Anna Köbberling, MdL",https://www.facebook.com/217667028619039
343,TAGEBLATT online,https://www.facebook.com/224383888773
344,Martina Englhardt-Kopf,https://www.facebook.com/100143048926878
345,Esra Limbacher,https://www.facebook.com/348979855478911
346,KSTA,https://www.facebook.com/141063022950
347,Daniela Schmitt,https://www.facebook.com/145118799207519
348,Die Harke - Nienburger Zeitung,https://www.facebook.com/136297626391848
349,CDU Hessen,https://www.facebook.com/217523541326
350,Gunnar Lindemann MdA,https://www.facebook.com/659320797543272
351,Punkt 12,https://www.facebook.com/147540128640174
352,Bernd Schattner MdB,https://www.facebook.com/108556880612537
353,WAZ,https://www.facebook.com/117194401183
354,NRWSPD,https://www.facebook.com/30774145303
355,Günter Krings,https://www.facebook.com/400578453368061
356,Sascha Lensing,https://www.facebook.com/108769000974500
357,Leonberger Kreiszeitung,https://www.facebook.com/145305275502262
358,Mittelbayerische,https://www.facebook.com/319314670603
359,Sprade TV,https://www.facebook.com/421315181287506
360,lokalkompass.de,https://www.facebook.com/149649935051742
361,bnn.de / Badische Neueste Nachrichten,https://www.facebook.com/450065218535261
362,Marcel Emmerich,https://www.facebook.com/105265511753865
363,Sebastian Lechner,https://www.facebook.com/624314001094066
364,Dr. Daniela Oeynhausen,https://www.facebook.com/100205555450460
365,Katrin Langensiepen,https://www.facebook.com/262729100577547
366,Eiskunstlaufblog,
367,Hubert Hüppe,https://www.facebook.com/164514150363925
368,"Jaqueline Rauschkolb, MdL",https://www.facebook.com/1414676452123984
369,Jessica Tatti,https://www.facebook.com/1701714076575330
370,Schwäbische,https://www.facebook.com/370592709617945
371,Tölzer Kurier,https://www.facebook.com/194152923969646
372,Gießener Allgemeine Zeitung,https://www.facebook.com/142861707245
373,Hellweger Anzeiger,https://www.facebook.com/1520821978139311
374,Heidenheimer Zeitung,https://www.facebook.com/163413840361180
375,Petra Federau,https://www.facebook.com/1632680683684573
376,Kieler Nachrichten,https://www.facebook.com/160954957393014
377,Daniel Lindenschmid MdL,https://www.facebook.com/758554274273918
378,Plattlinger Zeitung,https://www.facebook.com/141982552480156
379,Landshuter Zeitung,https://www.facebook.com/339189342765368
380,Achim Köhler - MdB,
381,Artur Auernhammer,https://www.facebook.com/233549693475148
382,Hohenloher Tagblatt - Südwest Presse,https://www.facebook.com/189491983401
383,Jeversches Wochenblatt,https://www.facebook.com/174162359282424
384,Grüne Landtagsfraktion Niedersachsen,https://www.facebook.com/153273561381773
385,Sarah Schweizer,https://www.facebook.com/102885408249343
386,Senatsverwaltung für Kultur und Gesellschaftlichen Zusammenhalt,
387,Weißenburger Tagblatt,https://www.facebook.com/346817585669665
388,Hamburger Abendblatt,https://www.facebook.com/121580125458
389,Kötztinger Zeitung,https://www.facebook.com/376765395675043
390,Germany's Next Topmodel,https://www.facebook.com/76620179938
391,Pascal Meiser,https://www.facebook.com/1181444335296054
392,Thüringer Ministerium für Inneres und Kommunales,https://www.facebook.com/600572733384008
393,Dr. Katja Strauss-Köster,https://www.facebook.com/100559865160887
394,Bremische Bürgerschaft,https://www.facebook.com/112062055514490
395,Nordkurier,https://www.facebook.com/102742776465803
396,Soester Anzeiger,https://www.facebook.com/171180969565507
397,"BNN - Baden-Baden, Rastatt, Gaggenau, Murgtal",
398,Landeszeitung Lüneburg,https://www.facebook.com/106727649360868
399,Wetterauer Zeitung,https://www.facebook.com/198391710172409
400,AfD Hannover Stadt,https://www.facebook.com/818732621553521
401,Martin Hagen,https://www.facebook.com/112072139503036
402,Fabian Ehmann,https://www.facebook.com/100952161983109
403,Michael Weiss Hamburg,
404,Lars Haise MdB,
405,Jens Lehmann für Leipzig,https://www.facebook.com/1172124759533323
406,Isabel Cademartori,https://www.facebook.com/104824124853030
407,PZ-news.de,https://www.facebook.com/254564920485
408,Klaus Herrmann,https://www.facebook.com/346615899102825
409,Ringo Mühlmann,https://www.facebook.com/106722504318891
410,Lars Castellucci,https://www.facebook.com/295376017278501
411,münchen.tv,https://www.facebook.com/187023227796
412,Thüringer Landtag,https://www.facebook.com/118252978672037
413,Nürburgring Langstrecken-Serie,https://www.facebook.com/328952860482348
414,Dülmener Zeitung,https://www.facebook.com/145231442179920
415,CDU-Fraktion des Sächsischen Landtages,https://www.facebook.com/195137827175331
416,"Ole Thorben Buschhüter - für Rahlstedt, Oldenfelde und Meiendorf",
417,Torsten Welling,https://www.facebook.com/111736197353197
418,Stimberg Zeitung,https://www.facebook.com/220415318141650
419,Wilhelmshavener Zeitung,https://www.facebook.com/199119346371
420,HNA Waldeck-Frankenberg,https://www.facebook.com/104646406286132
421,Husumer Nachrichten - Nachrichten für Husum und Nordfriesland,https://www.facebook.com/200948810000954
422,Prof. Dr. Wolfgang Reinhart,https://www.facebook.com/551246314973765
423,Dewezet,https://www.facebook.com/145221692200220
424,DIE ZEIT,
425,Ostfriesische Nachrichten,https://www.facebook.com/447500198607403
